Référence	ContexteGauche	Pivot	ContexteDroit
menagier, p. 50b	; et que faire le devez par l'exemple mesmes que vous veez des gens	chevauchans_|chevaucher|_VERppa	parmy le monde, que vous veez que si tost qu'ilz sont en leur
menagier, p. 113a	biens gouverne, afin que se aucun de noz chevaulx tant de charrue comme a	chevauchier_|chevaucher|_VERinf	est en essoine, ou qu'il couviengne achecter ou eschanger, qu'il s'
menagier, p. 114b	ung cornet ung quarteron de quelque huille dedens le cul, et puis le faictes	chevauchier_|chevaucher|_VERinf	tant qu'il sue, et il garira. Quant cheval a vives, il
menagier, p. 116a	ung cheval basset et aisié pour monter et descendre souvent, qui soit paisible au	chevauchier_|chevaucher|_VERinf	, sans fretillier, ne tournoyer, ne tourner la bride, ne regiber,
menagier, p. 120a	: c'est assavoir que si un esprevier avoit esté gouverné par un homme blanc	chevauchant_|chevaucher|_VERppa	un cheval noir, et l'en le bailloit es mains d'un moinne noir
menagier, p. 120a	un cheval noir, et l'en le bailloit es mains d'un moinne noir	chevauchant_|chevaucher|_VERppa	un cheval blanc, ou d'un escuier, chevalier ou bourgoiz, ou d'
maniere1396, p. 6	quar lors je frai un graunt mangerie. Meintenant je vous dirrai coment un homme	chivachant_|chivachant|_VERppa	ou chymynant se doit contenere et parler sur son chymyne, qui voet aler bien
maniere1396, p. 7	aveyn et du payn, quar si tost que j'ay desjunee, je me	chivacherai_|chivacherai|_VERcjg	devers Parys, et par aventure je ne revendray pas en grant piece a cause
maniere1396, p. 8	et se monte a chival et, quant il este montee, il s'en	chivache_|chivache|_VERcjg	sur son chymyn et dit : Vraiment, mez amys, je ne fu meulx
maniere1396, p. 8	est le droit chymyn vers Parys ? Mon seignour, je vous dirrai. Vous	chivacherés_|chivacherés|_VERcjg	tout droit par cest chymyn tanque vous venez a la crois du pere que n'
maniere1396, p. 9	vous doint bon encontre et vous garde benurément dez toutz adversiteez. Lors le seignour	chivache_|chivache|_VERcjg	sur son chymyne et comence a chanter la plus graciouce et la plus amerous chaunçon
maniere1396, p. 9	hostel par temps. Si frai je, moun seignour. Donques Janyn s'en	chivache_|chivache|_VERcjg	si fort galopant que c'est mervaille, tanque il serra a Parys, puis
maniere1396, p. 14	vous dirrai coment vous frez. Vous savez bien que mon seignour se purpose de	chivacher_|chevaucher|_VERinf	hors de la ville demain aprés manger. Et pur ce alés et demandés meintenant
maniere1396, p. 14	. Et aprés manger, le seignour comanda sez vadletz de seller les chivalx pur	chivacher_|chevaucher|_VERinf	hors de la ville. Donques vient la dame de l'hostel a son seignour
maniere1396, p. 14	seignour et lui dit ainsi : « Mon seignour, fist ele, vous ne	civacherez_|civacherez|_VERcjg	hors de ciens maishuy, se vous plest, qar il est deja bien pres
maniere1396, p. 22	. Save vostre grace, beal sir, non su je. Et s'ent	chivachent_|chivachent|_VERcjg	ensemble vers l'estaunc, et sitost com les chivalx ont assés bu, ils
maniere1396, p. 22	les frottont tresbiene de lour bastons des les faire plus privés, et s'en	chivachont_|chivachont|_VERcjg	a l'ostel, et puis les sechent encontre le feu et s'en chaufont
maniere1396, p. 44	d'illoques a Aurilians, et quel chemyn tenrai je ? Mon signeur, vous	chivalcherez_|chivalcherez|_VERcjg	tout parmy la ville de Tamps vers la porte Saint Lou, et la vous
maniere1396, p. 45	de temps, mais je n'aresterai guaires. Et puis le signeur s'en	chivalche_|chevaucher|_VERcjg	sur son chemyn et quant il venra ou mylieu de la ville, il demandera
anglure, p. 53	le desert lieu ou il est assis. Illec nous furent admenez nos asnes pour	chevaulchier_|chevaucher|_VERinf	. Si montasmes sus et retournasmes a Saincte Katherine tout le pendant par la pleine
anglure, p. 59	l'avoit veue. Et sachiés que nous meismes le tiers de la nuit a	chevaulchier_|chevaucher|_VERinf	sur nos asnes dès l'entrée du Caire jusques a nostredit herberge, qui est
maniere1399, p. 53	assés du jour jusques la ? Sire, il vous fault cheminer - ou :	chevaucher_|chevaucher|_VERinf	- fort. Le chemyn est il assés seur ? Voir, sire, vous
maniere1399, p. 54	choses seront accompliez, donques vous vous despartirez de moy. Dieu vous doint bonne	chevauché_|chevaucher|_VERppe	et vous encroisse en voz marchandisez. Alez avant en vostre chemyn, que vous
QJoyesKa, p. 116r	qu’ilz ont aprins avecques le page du proudomme. Si s’en raudent en	chevauchent_|chevaucher|_VERcjg	, et toute voies ilz n’en sont pas bien contens et dient qu’ilz
QJoyesKa, p. 124r	face finence de chevaulx selon son estat, et convient que elle ait robe a	chevaucher_|chevaucher|_VERinf	. Et a l’aventura ira ung tel galant en la compaignie qui li fera
QJoyesKa, p. 141r	n’a nulles dens, lié d’une grosse chaigne de fer, et est	chevauché_|chevaucher|_VERppe	et chastié o une grosse barre de bois. Et tout le retour qu’il
CoutHector1, p. 139	Guieffroy Lelong, escuïers, et le chapellain de la chapele de Gravenchon, doivent	chevauchier_|chevaucher|_VERinf	deux fois l'an lesdictes forestz, c'est assavoir l'une quant les arbres
CoutHector1, p. 160	Guieffroy Lelong, escuïers, et le chapelain de la chapelle de Gravenchon, doivent	chevauchier_|chevaucher|_VERinf	lesdictes forestz deux foys en l'an, c'est assavoir l'une quant les
baye1, p. 106	Normandie une galiote de compaignons d'armes, dont il estoit venus à Paris en	chevauchant_|chevaucher|_VERppa	hastivement, et estoit mahaitiez, si manda le XIIIJe de juillet derrain le medecin
baye1, p. 138	en dit, que la Royne n'eust mandé ledit Dauphin pour sa venue,	chevaucha_|chevaucher|_VERcjg	hastivement et soudainnement à tout sa gent armée de Louvres en Parisis où il avoit
baye1, p. 157	si plaist à la Cour, car il faloit ledit chevalier partir sur heure et	chevaucher_|chevaucher|_VERinf	nuit et jour pour estre à la besoigne et bataille de Brantosne. Juesdi,
baye1, p. 235	ont esté amenez maistre Sance Loup, nez du païz d'Arragon, et un	chevaucheur_|chevaucheur|_NOMcom	du pape Benedict qui fu derriere, nez de Castelle, en IJ tumbereaux,
baye2, p. 164	justice, et n'avoient pas les seigneurs acoustumé d'aler armez, ne de	chevaucher_|chevaucher|_VERinf	par ville, sinon sur mules à venir au Palaiz, qu'il suffisoit que
baye2, p. 165	autre estat que selon leur profession, et qu'il n'avoient communement pour eulx	chevaucher_|chevaucher|_VERinf	que mules, et sambleroit chose estrange d'aler par ville, comme dit est
baye2, p. 165	, montez et armez, ou leurs gens, avecques monseigneur le Dauphin qui avoit	chevauchié_|chevaucher|_VERppe	, lui et nosseigneurs de France avecques lui et leurs gens armez, et aussy
baye2, p. 168	de la Chambre des Comptes, les tresoriers, à tout leurs gens armez,	chevauchierent_|chevaucher|_VERcjg	par Paris aux IIIJ portes. Mardi, XIIJe jour de fevrier. N'a
baye2, p. 202	le wellent paier, et dudit argent a ordonné que X escus seront bailliez au	chevaucheur_|chevaucheur|_NOMcom	qui a apporté les lettres d'icelles prerogatives. Comme à la requeste du procureur
DocSMichel_a, p. 101	, pour tant qu'il fut trouvé par sa confession qu'il avoit esté et	chevauchié_|chevaucher|_VERppe	en la compaignye des brigans, fut icelui IIIIe jour de novembre condampné a faire
DocSMichel_a, p. 118	c'est assavoir vint hommes d'armes et soixante archiers pour l'acompaignier dans ses	chevauchées_|chevauchée|_NOMcom	pour la garde et sceurté des diz pays, autres vint hommes d'armes et
DocSMichel_a, p. 128	temps après que le dit suppliant fut delivré des dictes prisons, ainsi qu'il	chevauchoit_|chevaucher|_VERcjg	querant les brigans qui continuelment estoient en aguet sur le pays, il eust d'
cdo_ballades, p. 165, v. 2	Docens loiaulx advisemens, Testibus les phisiciens. En la forest de Longue Actente,	Chevauchant_|chevauchant|_VERppa	par divers sentiers M'en voys, ceste annee presente, Ou voyage de Desiriers
maniere1415, p. 71	en Engleterre pur la saufgarde de mesme le rayme. Syre, ou pensez vous	chivacher_|chevaucher|_VERinf	anoet ? Sire, a la prochene ville, si Dieu plest. Sire,
maniere1415, p. 71	Sire, nous avouns biene.x. lewes illoeques unqore. Ore, sire, lessomes	chivacher_|chevaucher|_VERinf	ensemble, je vous pri, quar je pense aler - ou : chivacher -
maniere1415, p. 71	lessomes chivacher ensemble, je vous pri, quar je pense aler - ou :	chivacher_|chevaucher|_VERinf	- a mesme la ville, mes je ne coni pas bien le chymyn.
maniere1415, p. 72	unquore, quar il sount trope chaudez pur boire, pur ce que nous avons	chivaché_|chivaché|_NOMcom	fort de Tettysworde tanque encea. Et auxci nous estoions pursuez ové larons icy a
maniere1415, p. 73	vostre servoise pur nous rehaiter, quar nous sumus moillez et laas et nous avons	chivachez_|chevaucher|_VERppe	a jour de huy.xl. lewes et plus, par may foy. Sire,
maniere1415, p. 76	come lui coste.c. livres. Syre, je vous pri, ou pansez vous	chivacher_|chevaucher|_VERinf	ore decy ? Dame, droit a Loundres, si Dieu plaist. Sir,
cdo_rondeaux, p. 302, v. 7	voulez empeschier. Soit au lever, ou au couchier, Ou quant vous devez	chevauchier_|chevaucher|_VERinf	, Esbatés vous y pour le mieuls En la vigne jusqu'au peschier. Se
monstre, p. 16	un se disoit conte d'Eu. Et lendemain se deslogèrent assés matin, et	chevaulchèrent_|chevaucher|_VERcjg	en moult belle ordonnance en tirant vers Pontoise. Et adonc eut le Roy conseil
monstre, p. 19	canon. Et d'aultre part, durant le temps dessusdit, furent faites pluiseurs	chevaulchiés_|chevaucher|_NOMcom	et escarmuches entre les François et les Anglois. Lesquelles racompter chascune à par ly
monstre, p. 81	en après aulcuns peu de jours, se départi de là, et par Amiens	chevaulcha_|chevaucher|_VERcjg	jusques à Compiengne. Et depuis s'en ala à Chasteler, où le conte
jouvencel1, p. 35	que devant. Après ces choses ouyes, le cappitaine de Luc se advisa de	chevaulchier_|chevaucher|_VERinf	. Si assembla la garnison et furent environ XV chevaulx. Puis partirent du chasteau
jouvencel1, p. 35	, et tindrent la manière de trayner ung rameau pour couvrir leur tract. Et	chevaucherent_|chevaucher|_VERcjg	tant qu'ilz passerent oultre Verset, et arriverent en ung fort buisson, où
jouvencel1, p. 45	, vous prye, Jouvencel, sieuvez ce que vous avez commencé. Parlons de	chevauchier_|chevaucher|_VERinf	et d'aller à la guerre et nous fions en Dieu et en nous -
jouvencel1, p. 61	« Certes, cappitaine, quant il me souvient de l'autre jour que nous	chevaulchasmes_|chevaucher|_VERcjg	et destroussasmes les autres, je vouldroye que nous feussions allé quatre ou cinq lieues
jouvencel1, p. 65	. Mais il nous fault faire dilligence. » Adoncq se mirent à chemin et	chevaucherent_|chevaucher|_VERcjg	jusques à ung petit champ, qui estoit advironné de buissons, hors de tous
jouvencel1, p. 66	, compaignons, vous estes bien ordonnez. Mettez - vous tous à chemin et	chevaulchez_|chevaucher|_VERcjg	selon vostre ordonnance ; et je iray devant vous la longueur d'une lance ou
jouvencel1, p. 66	» Quant le Jouvencel eut ainsi parlé, ilz se mirent tous à chemin et	chevaucherent_|chevaucher|_VERcjg	assez longuement sans rien ouyr. Mais je croy bien que, quant ilz oyoient
jouvencel1, p. 66	devant, retourneroit. Si alloient moult bellement et coyement. Et n'eurent gueres	chevauchié_|chevaucher|_VERppe	en ceste manière que vecy venir le compaignon de Gervaise, qui sembloit bien estre
jouvencel1, p. 72	, dist le Jouvencel, une garnyson de nostre party, qui venoit icy pour	chevauchier_|chevaucher|_VERinf	ou pour faire quelque entreprinse. Mais ilz ont esté aussi esbahis de vous ouyr
jouvencel1, p. 73	Car, comme dit Virgille, es vaincus n'a pas grant fiance. Si	chevaucherent_|chevaucher|_VERcjg	tant qu'ilz arriverent en la ville de Crathor. Et là furent le Jouvencel
jouvencel1, p. 82	au jour que la lune ne soit pas plaine, mais qu'on y puisse	chevaulcer_|chevaucher|_VERinf	deux ou trois heures, adfin que nous ne soyons descouvers par les gens du
jouvencel1, p. 84	Gervaise partirent au plus matin, ainsi qu'il avoit esté appointié par avant et	chevaulcerent_|chevaucher|_VERcjg	tant qu'ilz vindrent à la Vannais, où ilz trouverent le sire de Roqueton
jouvencel1, p. 87	la grace et à nos gens qu'ilz la nous puissent ouvrir. » Ainsi	chevaucherent_|chevaucher|_VERcjg	le Cappitaine, le sire de Roqueton, le Jouvencel et Piètres jusques au Chesne
jouvencel1, p. 87	Tirez vos brides roiddes ; gardés vos chevaulx de crier. Nous avons envoyé les	chevaucheurs_|chevaucheur|_NOMcom	, que nous avez mandé, par Jennyn l'archier. Je croy qu'ilz
jouvencel1, p. 101	congneu de la prise de ceste ville par le pays, il seroit bon de	chevaucher_|chevaucher|_VERinf	et d'aller à nostre adventure. Car nous pourrons rencontrer aucun qui ne se
jouvencel1, p. 103	fermant et que chascun repaisse bien entre cy et là, afin que on puisse	chevaucher_|chevaucher|_VERinf	toute la nuyt jusques au lieu que j'ay dit à noz guides ; et
jouvencel1, p. 104	Et, quant au regard de vous, il m'est adviz que devez tousjours	chevaucher_|chevaucher|_VERinf	quelque demy - quart de lieue devant nous. Et mettez deux de voz coustilleurs
jouvencel1, p. 104	compaignie, affin que gens du payz ne aultres ne puissent ouyr. Et ainsi	chevaucherons_|chevaucher|_VERcjg	sans arrester jusques au lieu de la repeue. Et, quant le Mareschal y
jouvencel1, p. 105	à cheval, quant l'eure fut venue, et partirent de la ville et	chevaucherent_|chevaucher|_VERcjg	en l'ordonnance, ainsi que cy - dessuz a esté pourparlé, jusques au
jouvencel1, p. 106	repeu, lors se mirent à chemin, ainsi qu'ilz avoient ordonné, et	chevaulcherent_|chevaucher|_VERcjg	tant qu'ilz arriverent en une grande lande, qui estoit loing du grant chemin
jouvencel1, p. 125	bataille fut assignée que ces deux freres saillirent en belle et plaisante ordonnance et tousjours	chevaucherent_|chevaucher|_VERcjg	coste à coste sans desemparer l'un l'autre. Si le feirent si vaillamment
jouvencel1, p. 142	le moyen de l'embusche qu'ilz laissoient derrière ; et, eulx retraiz,	chevaucheroient_|chevaucher|_VERcjg	sur le siège tellement qu'il ne leur vendroit plus nulz vivres et que nulz
jouvencel1, p. 143	et souvent veoir ses ennemiz. Or est ainsi que le Jouvencel et sa compaignie	chevaucherent_|chevaucher|_VERcjg	jucques à trois lieues prez du lieu où estoient leurs ennemiz au siège. Et
jouvencel1, p. 147	qu'ilz rueroient jus le Jouvencel et sa compaignie. Et, ainsi qu'ilz	chevauchoient_|chevaucher|_VERcjg	droit à Crathor, rencontrerent le Jouvencel, qui, tantost qu'il les advisa
jouvencel1, p. 151	gaiges, demourans en l'obeissance de ses ennemis. Et ainsi que le Jouvencel	chevauchoit_|chevaucher|_VERcjg	, lui et ses compaignons, lui vindrent nouvelles, par l'une de ses
jouvencel1, p. 151	, lui vindrent nouvelles, par l'une de ses guettes, que ses ennemys	chevaulchoient_|chevaucher|_VERcjg	droit à Crathor et qu'il n'yroit point là ou il pensoit. Ainsi
jouvencel1, p. 155	s'ensieuvent et autres, de quoy on se puet tousjours adviser. Vous devés	chevaulcher_|chevaucher|_VERinf	entour ces gens, qui sont en bataille, tellement qu'il ne leur viengne
jouvencel1, p. 160	, et en fine l'en mieulx quant on a à faire. Se tu	chevaulches_|chevaucher|_VERcjg	à cent ou à Vc ou à mille, à l'adventure, sans sçavoir
jouvencel1, p. 160	Mais, se tu estoies sceurement adcertené de trouver gens en ung logis ou en	chevauchant_|chevaucher|_VERppa	, ne envoye nulles gens devant, sinon en tappinaige, et fay, se
jouvencel1, p. 166	place, sans que nulz des guetz de ceulx du siège le apperçeussent ; et	chevaucha_|chevaucher|_VERcjg	par ses journées tellement qu'il arriva devers le Roy et fit son rapport bien
jouvencel1, p. 178	sauront vostre venue et mieulx vaudra. Vous povez partir d'ici au matin et	chevaucher_|chevaucher|_VERinf	tout le jour, et vous en yrez repaistre à ung petit villaige, nommé
jouvencel1, p. 179	partoient des battailles pour aller prendre les logeiz, il ne fut osé partir ung	chevaucheur_|chevaucheur|_NOMcom	pour aller au logeiz sur peine de la mort, sinon ceulx qui avoient une
jouvencel1, p. 185	puisque vous avez commencé, je vous prie de parler de la manière de nostre	chevauchée_|chevauchée|_NOMcom	de demain. » - « Monseigneur, dit l'Admiral, je suis d'
jouvencel1, p. 185	bataille. Et messeigneurs, qui ont la charge de l'arrière - garde,	chevaucheront_|chevaucher|_VERcjg	après vostre traict. Monseigneur, je ne viz oncques jour de ma vie que
jouvencel1, p. 185	. Monseigneur, je ne viz oncques jour de ma vie que, quant on	chevaulche_|chevaucher|_VERcjg	et le traict est devant, que le traict ne fut cause de rompre la
jouvencel1, p. 187	doncq ! dist l'Admiral. J'ay dit ce que me semble de nostre	chevauchée_|chevauchée|_NOMcom	de demain, sauf à messeigneurs de me corriger. » Tous dirent : «
jouvencel1, p. 187	Ainsi fut conclud le partement de Luc pour s'en aller à Crathor. Et	chevaucherent_|chevaucher|_VERcjg	jusques au petit villaige, nommé Hardan, qui estoit sur la petite rivière,
jouvencel1, p. 189	manière que j'ay dit, jusques à Crathor. Et, quant ilz eurent	chevauché_|chevaucher|_VERppe	jusques à la veue de la ville en l'ordonnance que vous avez ouye,
jouvencel1, p. 197	puissez ne devez entreprendre sur ces gens icy, sinon une chose seullement. Faictes	chevaucher_|chevaucher|_VERinf	voz gens et gardez qu'il ne leur viengne nulz vivres de leur païz,
jouvencel1, p. 197	qu'il ne leur viengne nulz vivres de leur païz, et que voz gens	chevauchent_|chevaucher|_VERcjg	si puissans qu'ilz les puissent garder d'avoir vivres ; ce qu'ilz feront
jouvencel1, p. 197	leur baillez tousjours bons chiefz, quant ilz iront dehors, et que homme ne	chevauche_|chevaucher|_VERcjg	sans congié, affin que on ne soit point rué juz follement. Ilz ne
jouvencel1, p. 201	on ne mette peine de surprendre son ennemy, comme en ung logeiz, en	chevauchant_|chevaucher|_VERppa	ou par une embuche. Et en joue l'en à quitte ou à double
jouvencel1, p. 201	. Et pour ce, Monseigneur, quant on va en guerre, on doit	chevaucher_|chevaucher|_VERinf	deliberé d'arrester et tenir ferme, quelque chose qu'il adviengne, sinon on
jouvencel1, p. 202	pas que nous perdons temps à dire riens aprez luy. Besongnez à savoir qui	chevauchera_|chevaucher|_VERcjg	et à la police de voz vivres et de vostre guet, et faictes crier
jouvencel1, p. 202	leur ordonnance, ainsi que plus à plain verrez. Aprez demande le conte qui	chevauchera_|chevaucher|_VERcjg	sur le païz des ennemyz, affin que vivres ne leur viengnent. Tous furent
jouvencel1, p. 206	orrons riens. » Ainsi partirent le sire de Rocqueton et Guyon ; et tant	chevaucherent_|chevaucher|_VERcjg	qu'ilz vindrent à trouver le premier de leurs escouttes, qui leur dist :
jouvencel1, p. 213	que conduisoient messire Broquet de la Motte et messire Hermel de la Haye. Ainsi	chevaucha_|chevaucher|_VERcjg	le Jouvencel sur le doz du duc Baudoin et du conte d'Orte. Et
jouvencel1, p. 214	cuide gaignier, que on pert. Mais touteffoiz on doit penser, quant on	chevauche_|chevaucher|_VERcjg	une grande compaignie, qu'il en demeure tousjours derrière ; et doit l'en
jouvencel1, p. 215	gens se puissent musser. Touteffois le Jouvencel n'en fit pas grant compte et	chevaucha_|chevaucher|_VERcjg	bien et roydement aprez. Et tant allerent par leur continuacion qu'ilz approucherent d'
jouvencel1, p. 216	et pareillement à monseigneur le conte de Parvanchières. » Ainsi le firent et envoyerent	chevaucheurs_|chevaucheur|_NOMcom	devers les Mareschaulx et devers le conte. Puis prindrent leur chemin, ainsi que
jouvencel2, p. 7	, le conte devers le Roy et les aultres à la ville. Et puis	chevaucha_|chevaucher|_VERcjg	tant le conte par ses journées qu'il arriva devers le Roy, où il
jouvencel2, p. 15	autres ; ce n'est pas le fait d'ung lieutenant de Roy que de	chevauchier_|chevaucher|_VERinf	, s'il ne chevauche par grant arroy et bonne ordonnance. » Le Jouvencel
jouvencel2, p. 15	pas le fait d'ung lieutenant de Roy que de chevauchier, s'il ne	chevauche_|chevaucher|_VERcjg	par grant arroy et bonne ordonnance. » Le Jouvencel respondit : « Ne vous
jouvencel2, p. 32	ne faciez riens à l'entreprise de vostre ennemy. Aprez il vuelt que vous	chevauchez_|chevaucher|_VERcjg	tousjours en ordonnance, quelque part que vous alliez, soit en paix, soit
jouvencel2, p. 32	en quoy fault que tout chief se gouverne : c'est assavoir, quant il	chevauche_|chevaucher|_VERcjg	aux champs, ou qu'il est en bataille ou en guerre, qu'il
jouvencel2, p. 33	Or retournons à parler de l'excercite des armes qui ne se peult faire sans	chevaucher_|chevaucher|_VERinf	. Et, pour ce que en chevauchant il peult venir beaucoup d'inconveniens,
jouvencel2, p. 33	armes qui ne se peult faire sans chevaucher. Et, pour ce que en	chevauchant_|chevaucher|_VERppa	il peult venir beaucoup d'inconveniens, pour ce est dit que on doit tousjours
jouvencel2, p. 33	il peult venir beaucoup d'inconveniens, pour ce est dit que on doit tousjours	chevaucher_|chevaucher|_VERinf	en ordonnance. Vous savez assez la manière de descouvrir le païs, d'avoir
jouvencel2, p. 80	en furent très contens ; et partirent grant nombre de gens bien en point et	chevaucherent_|chevaucher|_VERcjg	jusques à une grosse ville champestre, laquelle ilz prindrent par force et là où
jouvencel2, p. 82	que vous avez à faire pour ceste heure, il est de neccessité que vous	chevauchez_|chevaucher|_VERcjg	et que vous facez gaigner les compaignons ; il y a longtemps qu'ilz ne
jouvencel2, p. 83	assignez des gaiges à nous ordonnez. Et pour ce faut - il que vous	chevauchez_|chevaucher|_VERcjg	sur le payz et que vous monstrez par vives raisons que nostre Roy est plus
jouvencel2, p. 84	Roy et de son party et de nous tous, qu'il est besoing que	chevauchons_|chevaucher|_VERcjg	. Et, pour ce, vous pry que soyez à Crathor à tant de
jouvencel2, p. 86	puisqu'il plaisoit à Dieu lui avoir donné si belle compaignie, qu'il ne	chevaucheroit_|chevaucher|_VERcjg	point que le garde - bras ne lui reluisist sur l'espaule et, se
jouvencel2, p. 86	qu'il ne tiendroit que à luy s'il n'avoit la bataille. Ainsi	chevaucha_|chevaucher|_VERcjg	le Jouvencel, bien ordonné en sa bataille. Et, quand il regardoit devant
jouvencel2, p. 86	ses petiz pas qu'il arriva au logeiz et là conclud la maniere de son	chevaucher_|chevaucher|_VERinf	et fit son butin et dist que chascun seroit à butin à son plaisir,
jouvencel2, p. 87	le cappitaine de Sardine et leur demanda : « Or çà vous avez aujourd'uy	chevauchié_|chevaucher|_VERppe	devant et avez envoyé voz gens sur le payz ; je sçay bien que avez
jouvencel2, p. 87	dictes nous ce que vous savez. » Et ilz respondirent : « Nous avons	chevauché_|chevaucher|_VERppe	et avons fait nostre diligence de savoir des nouvelles. Mais, ad ce que
jouvencel2, p. 87	nouvelles que trouverons, nous besongnerons. Et disoye que vous autres, qui avez	chevauchié_|chevaucher|_VERppe	devant, vous entrassiez les premiers ; car vous estes assez fors pour le faire
jouvencel2, p. 88	et, au plus matin, les cappitaines qui avoient la charge d'aller devant	chevaucherent_|chevaucher|_VERcjg	et allerent tant par leurs petiz pas qu'ilz arriverent à Francheville, qui estoit
jouvencel2, p. 91	partist le Jouvencel avecques ce qui luy estoit demouré de sa proye, et tant	chevaucha_|chevaucher|_VERcjg	qu'il vint en ung logeiz prez de Crathor, environ VII lieues ; et
jouvencel2, p. 92	la place sont les grans perilz et dangiers. Et ainsi, comme le Jouvencel	chevauchoit_|chevaucher|_VERcjg	pour s'en aller, arriva le duc Baudouyn au logeiz où le Jouvencel avoit
jouvencel2, p. 92	: « Certes, nous avons veu gens. Seurement, le duc Baudouyn vous	chevauche_|chevaucher|_VERcjg	. » Et incontinent le Mareschal manda au Jouvencel qu'il fist serrer ses gens
jouvencel2, p. 96	ung très bon prisonnier et avecques ce gaigna chevaulx et argent. Ainsi qu'il	chevauchoit_|chevaucher|_VERcjg	, rencontra une autre bande de l'armée du Jouvencel, où il s'abutina
jouvencel2, p. 112	seigneur et qu'il ne lui souvenoit plus de la guerre. Et entreprit de	chevauchier_|chevaucher|_VERinf	et manda toute sa compaignie et puissance ; et de longue main avoit envoyé querir
jouvencel2, p. 120	songea qu'il pourroit faire au duc Baudouyn, qui ainsi le pourmenoit, et	chevaucha_|chevaucher|_VERcjg	et entreprint sur le duc Baudouyn deux ou trois foys ; mais rien n'y
jouvencel2, p. 128	peussent avoir congnoissance de la puissance qui venoit derrière. Puis ordonna aucunes gens pour	chevaucher_|chevaucher|_VERinf	sur les costez, qui congnoissoient bien le pays, affin que nul ne se
jouvencel2, p. 128	affin que nul ne se escartast et que nul n'approuchast de lui. Ainsi	chevaucha_|chevaucher|_VERcjg	jusques à son embusche, et là commanda que chascun tenist la bride de son
jouvencel2, p. 130	Et le cappitaine de Crathor, qui estoit demouré aux champs et estoit rusé,	chevaucha_|chevaucher|_VERcjg	entour la ville et prins plus de prisonniers, qui s'enfuyoient par dessus les
jouvencel2, p. 132	dont le Jouvencel ne fist que rire et dist qu'il avoit grant envie de	chevaucher_|chevaucher|_VERinf	hacquenée et que onques convoitise ne fut bonne. Le Jouvencel estoit si joyeux de
jouvencel2, p. 134	herault, vous fault parler de l'arrivée du herault Crathor, lequel a tant	chevauchié_|chevaucher|_VERppe	par ses journées qu'il est arrivé devers le Roy et lui a presentées les
jouvencel2, p. 140	vous plaist, j'en suis content. » Ainsi furent despeschez les ambaxadeurs et	chevaucherent_|chevaucher|_VERcjg	devers le Roy tant qu'ilz furent devant luy. Et, quant ilz y
jouvencel2, p. 145	Et le conte de Parvanchières ordonna le Jouvencel et toutes les frontières du pays pour	chevaucher_|chevaucher|_VERinf	encores devant luy. Et telle dilligence fit le conte qu'il surprint le duc
jouvencel2, p. 151	duchesse. Ainsi s'en partist le chevalier, lui et sa compaignie, et	chevaucherent_|chevaucher|_VERcjg	tant qu'ilz vindrent devers le Roy leur maistre et firent les recommandations du duc
jouvencel2, p. 165	tous les navires ès hables et qu'ilz ne marchassent plus. Et furent despeschiez	chevaucheurs_|chevaucheur|_NOMcom	, tant pour ceulx de la mer que pour ceulx de la terre, pour
jouvencel2, p. 194	On vous fait assavoir de par monseigneur le Regent que aucun homme d'armes ne	chevauche_|chevaucher|_VERcjg	que soubz l'estandart de son cappitaine et que tous les archiers chevauchent soubz l'
jouvencel2, p. 194	armes ne chevauche que soubz l'estandart de son cappitaine et que tous les archiers	chevauchent_|chevaucher|_VERcjg	soubz l'estandart de messire Guillaume Boucqueton jusques au logeiz et luy obéissent comme à
jouvencel2, p. 195	tous lui obéirent comme ilz eussent fait à leur souverain seigneur ; et le Jouvencel	chevaucha_|chevaucher|_VERcjg	à l'avant - garde. Ainsi chevaucherent tout le jour, tant que,
jouvencel2, p. 195	leur souverain seigneur ; et le Jouvencel chevaucha à l'avant - garde. Ainsi	chevaucherent_|chevaucher|_VERcjg	tout le jour, tant que, au soir, ilz arriverent entour la ville
jouvencel2, p. 195	que au matin il se rendroit à eulx ; ce qu'il fist. Et	chevaucherent_|chevaucher|_VERcjg	en l'ordonnance qu'ilz avoient faicte le jour de devant jusques au Don ;
jouvencel2, p. 196	desconfite comme une moindre. Et mainteffoys ay veu en mon temps, quant on	chevauchoit_|chevaucher|_VERcjg	en payz d'ennemyz et que on estoit grosse compaignie, que on se logeoit
jouvencel2, p. 206	la ville et de poursuir sa bonne fortune ; ce qu'il fit. Et	chevaucha_|chevaucher|_VERcjg	tant qu'il vint à une ville, qui avoit nom Le Bort, laquelle
jouvencel2, p. 232	, si vous voullez dire que les gens du duc d'Ath eussent eu des	chevaucheurs_|chevaucheur|_NOMcom	avecques eulx, c'estoit leur perdicion ; car, puisque les gens du roy
jouvencel2, p. 235	le repos pour les grans travaulx qu'ilz avoient euz ; il failloit qu'ilz	chevauchassent_|chevaucher|_VERcjg	les ungs aprez les aultres, l'avant - garde bien loing de la bataille
jouvencel2, p. 235	regent du royaume d'Amydoyne, pour qui ce livre fut commencié. Le Jouvencel	chevauchoit_|chevaucher|_VERcjg	en la compaignie du roy Amydas, qui passoit par devant une grosse ville,
